centre,param,points,x1,x2,x3,external model
0,x1,0,-2.5426157492040002,-2.1017199561756996,-1.818363954269625,4.025234184728549
0,x1,1,-1.9146157492040001,-2.1017199561756996,-1.818363954269625,3.234659721511367
0,x1,2,-1.2866157492040002,-2.1017199561756996,-1.818363954269625,3.1961067945308903
0,x1,3,-0.6586157492039999,-2.1017199561756996,-1.818363954269625,3.924286878344216
0,x1,4,-0.030615749178128038,-2.1017199561756996,-1.818363954269625,5.141332542046741
0,x1,5,0.5973842507960003,-2.1017199561756996,-1.818363954269625,6.382829337134555
0,x1,6,1.2253842507960004,-2.1017199561756996,-1.818363954269625,7.175032468110368
0,x1,7,1.8533842507959997,-2.1017199561756996,-1.818363954269625,7.215643844523301
0,x1,8,2.481384250796,-2.1017199561756996,-1.818363954269625,6.489166504725535
0,x1,9,3.109384250796001,-2.1017199561756996,-1.818363954269625,5.272818126797769
0,x2,0,-0.030615749178128038,-2.729719955984,-1.818363954269625,1.0577503089815679
0,x2,1,-0.030615749178128038,-2.1017199561756996,-1.818363954269625,5.141332542046741
0,x2,2,-0.030615749178128038,-1.473719955984,-1.818363954269625,6.870163510823876
0,x2,3,-0.030615749178128038,-0.8457199559839998,-1.818363954269625,3.857152291566991
0,x2,4,-0.030615749178128038,-0.21771995598400018,-1.818363954269625,0.2625273050042966
0,x2,5,-0.030615749178128038,0.41028004401599993,-1.818363954269625,1.0495827238119602
0,x2,6,-0.030615749178128038,1.0382800440159996,-1.818363954269625,5.131588335980661
0,x2,7,-0.030615749178128038,1.6662800440159997,-1.818363954269625,6.872297038281467
0,x2,8,-0.030615749178128038,2.294280044016,-1.818363954269625,3.868217676351199
0,x2,9,-0.030615749178128038,2.922280044016,-1.818363954269625,0.26724596867559397
0,x3,0,-0.030615749178128038,-2.1017199561756996,-3.074363954512,4.901335531233916
0,x3,1,-0.030615749178128038,-2.1017199561756996,-2.446363954512,5.065160217389769
0,x3,2,-0.030615749178128038,-2.1017199561756996,-1.818363954269625,5.141332542046741
0,x3,3,-0.030615749178128038,-2.1017199561756996,-1.190363954512,5.168652221342162
0,x3,4,-0.030615749178128038,-2.1017199561756996,-0.562363954512,5.174492112744131
0,x3,5,-0.030615749178128038,-2.1017199561756996,0.06563604548799962,5.174798214873084
0,x3,6,-0.030615749178128038,-2.1017199561756996,0.6936360454879997,5.1740896675910095
0,x3,7,-0.030615749178128038,-2.1017199561756996,1.3216360454880003,5.165458751983609
0,x3,8,-0.030615749178128038,-2.1017199561756996,1.9496360454880004,5.130570890360291
0,x3,9,-0.030615749178128038,-2.1017199561756996,2.5776360454879996,5.039664646254177
1,x1,0,-2.938804944624,0.0895233682861023,-2.9722896836716877,-1.7173515055190653
1,x1,1,-2.310804944624,0.0895233682861023,-2.9722896836716877,-6.446102080024946
1,x1,2,-1.682804944464014,0.0895233682861023,-2.9722896836716877,-8.693723446613717
1,x1,3,-1.0548049446239998,0.0895233682861023,-2.9722896836716877,-7.602542085938899
1,x1,4,-0.4268049446240001,0.0895233682861023,-2.9722896836716877,-3.5889436812138613
1,x1,5,0.20119505537600002,0.0895233682861023,-2.9722896836716877,1.815516178089573
1,x1,6,0.8291950553759997,0.0895233682861023,-2.9722896836716877,6.548540801625194
1,x1,7,1.4571950553760007,0.0895233682861023,-2.9722896836716877,8.804047570490429
1,x1,8,2.085195055376,0.0895233682861023,-2.9722896836716877,7.721353962179913
1,x1,9,2.713195055376,0.0895233682861023,-2.9722896836716877,3.713606804166905
1,x2,0,-1.682804944464014,-3.0504766318480003,-2.9722896836716877,-8.69172051026706
1,x2,1,-1.682804944464014,-2.422476631848,-2.9722896836716877,-5.712292025636852
1,x2,2,-1.682804944464014,-1.794476631848,-2.9722896836716877,-2.0941027394908938
1,x2,3,-1.682804944464014,-1.166476631848,-2.9722896836716877,-2.8329833342225053
1,x2,4,-1.682804944464014,-0.5384766318479999,-2.9722896836716877,-6.908721196876562
1,x2,5,-1.682804944464014,0.0895233682861023,-2.9722896836716877,-8.693723446613717
1,x2,6,-1.682804944464014,0.7175233681519999,-2.9722896836716877,-5.723340419983831
1,x2,7,-1.682804944464014,1.345523368152,-2.9722896836716877,-2.098941472852009
1,x2,8,-1.682804944464014,1.9735233681520001,-2.9722896836716877,-2.8249313043453297
1,x2,9,-1.682804944464014,2.6015233681520002,-2.9722896836716877,-6.898896279232666
1,x3,0,-1.682804944464014,0.0895233682861023,-2.9722896836716877,-8.693723446613717
1,x3,1,-1.682804944464014,0.0895233682861023,-2.3442896835680003,-3.9391214352637096
1,x3,2,-1.682804944464014,0.0895233682861023,-1.7162896835680002,-1.8000305515898256
1,x3,3,-1.682804944464014,0.0895233682861023,-1.088289683568,-1.0771775329290407
1,x3,4,-1.682804944464014,0.0895233682861023,-0.46028968356799993,-0.9422428857112458
1,x3,5,-1.682804944464014,0.0895233682861023,0.16771031643199974,-0.9378608843769939
1,x3,6,-1.682804944464014,0.0895233682861023,0.7957103164319999,-0.9776195713775
1,x3,7,-1.682804944464014,0.0895233682861023,1.423710316432,-1.3460607571746408
1,x3,8,-1.682804944464014,0.0895233682861023,2.051710316432,-2.698680020240955
1,x3,9,-1.682804944464014,0.0895233682861023,2.679710316432,-6.061926707059643
2,x1,0,-3.1278621874440002,0.7133353813208179,0.953883787656411,2.98243834225894
2,x1,1,-2.499862187444,0.7133353813208179,0.953883787656411,2.3491654469295273
2,x1,2,-1.871862187444,0.7133353813208179,0.953883787656411,1.963217222337322
2,x1,3,-1.243862187444,0.7133353813208179,0.953883787656411,1.9718682836968942
2,x1,4,-0.6158621874440002,0.7133353813208179,0.953883787656411,2.371817458333398
2,x1,5,0.012137812556000327,0.7133353813208179,0.953883787656411,3.0104474855709698
2,x1,6,0.640137812556,0.7133353813208179,0.953883787656411,3.6440624872247533
2,x1,7,1.2681378124780847,0.7133353813208179,0.953883787656411,4.030880276911997
2,x1,8,1.8961378125560002,0.7133353813208179,0.953883787656411,4.023294420714991
2,x1,9,2.5241378125560003,0.7133353813208179,0.953883787656411,3.6241996178599196
2,x2,0,1.2681378124780847,-3.05466461878,0.953883787656411,1.0863374623749391
2,x2,1,1.2681378124780847,-2.4266646187800003,0.953883787656411,4.041915793100291
2,x2,2,1.2681378124780847,-1.79866461878,0.953883787656411,7.676354972633219
2,x2,3,1.2681378124780847,-1.17066461878,0.953883787656411,6.971387207211161
2,x2,4,1.2681378124780847,-0.5426646187799999,0.953883787656411,2.9003998223892307
2,x2,5,1.2681378124780847,0.08533538121999973,0.953883787656411,1.0844264557948395
2,x2,6,1.2681378124780847,0.7133353813208179,0.953883787656411,4.030880276911997
2,x2,7,1.2681378124780847,1.34133538122,0.953883787656411,7.6714322836493185
2,x2,8,1.2681378124780847,1.96933538122,0.953883787656411,6.979374370475864
2,x2,9,1.2681378124780847,2.59733538122,0.953883787656411,2.9102685272898556
2,x3,0,1.2681378124780847,0.7133353813208179,-2.814116212188,9.938251339909325
2,x3,1,1.2681378124780847,0.7133353813208179,-2.1861162121880002,6.132023325380267
2,x3,2,1.2681378124780847,0.7133353813208179,-1.558116212188,4.514448924175872
2,x3,3,1.2681378124780847,0.7133353813208179,-0.930116212188,4.023293379277024
2,x3,4,1.2681378124780847,0.7133353813208179,-0.30211621218800033,3.9526477979806702
2,x3,5,1.2681378124780847,0.7133353813208179,0.3258837878120002,3.952929151899823
2,x3,6,1.2681378124780847,0.7133353813208179,0.953883787656411,4.030880276911997
2,x3,7,1.2681378124780847,0.7133353813208179,1.5818837878119996,4.549569873417015
2,x3,8,1.2681378124780847,0.7133353813208179,2.2098837878120006,6.228392505821402
2,x3,9,1.2681378124780847,0.7133353813208179,2.8378837878120007,10.143068603053983
3,x1,0,-2.9588923872642967,-0.7004118346798052,0.272722082301625,2.726170032211415
3,x1,1,-2.330892387496,-0.7004118346798052,0.272722082301625,2.182785327032504
3,x1,2,-1.702892387496,-0.7004118346798052,0.272722082301625,1.916119723943403
3,x1,3,-1.0748923874960004,-0.7004118346798052,0.272722082301625,2.0279305874594957
3,x1,4,-0.4468923874959998,-0.7004118346798052,0.272722082301625,2.4755518270228065
3,x1,5,0.18110761250400031,-0.7004118346798052,0.272722082301625,3.0881749206140663
3,x1,6,0.809107612504,-0.7004118346798052,0.272722082301625,3.6320280184584957
3,x1,7,1.437107612504,-0.7004118346798052,0.272722082301625,3.8995813261052477
3,x1,8,2.065107612504,-0.7004118346798052,0.272722082301625,3.7887387386306757
3,x1,9,2.6931076125039994,-0.7004118346798052,0.272722082301625,3.341796860552014
3,x2,0,-2.9588923872642967,-2.584411834532,0.272722082301625,1.7755868832275985
